Vendor ID,Vendor,Type,Num,Date,Due Date,Currency,Current,1 - 30,31 - 60,61 - 90,> 90,Open Balance (USD)
V-1003,Ridgewire Telecom,Bill,B-20043,06/26/2026,07/16/2026,USD,"1,292.93",,,,,"1,292.93"
V-1011,Klamath Basin Potato Co.,Bill,B-20540,06/08/2026,07/08/2026,USD,"9,820.78",,,,,"9,820.78"
V-1011,Klamath Basin Potato Co.,Bill,B-20846,06/16/2026,07/16/2026,USD,"4,208.81",,,,,"4,208.81"
V-1011,Klamath Basin Potato Co.,Bill,B-21121,06/26/2026,07/26/2026,USD,"7,426.29",,,,,"7,426.29"
V-1015,Deschutes Brewing Supply Co-op,Bill,B-20653,06/15/2026,07/15/2026,USD,"7,653.90",,,,,"7,653.90"
V-1015,Deschutes Brewing Supply Co-op,Bill,B-20542,06/23/2026,07/23/2026,USD,"5,873.84",,,,,"5,873.84"
V-1018,Keystone Scale & Calibration,Bill,B-20307,06/04/2026,07/04/2026,USD,495.86,,,,,495.86
V-1020,Cascade Coldchain Logistics,Bill,B-20274,06/03/2026,07/03/2026,USD,"3,961.81",,,,,"3,961.81"
V-1020,Cascade Coldchain Logistics,Bill,B-21480,06/10/2026,07/10/2026,USD,"3,329.18",,,,,"3,329.18"
V-1020,Cascade Coldchain Logistics,Bill,B-20704,06/19/2026,07/19/2026,USD,"4,983.72",,,,,"4,983.72"
V-1020,Cascade Coldchain Logistics,Bill,B-21215,06/26/2026,07/26/2026,USD,"4,984.16",,,,,"4,984.16"
V-1023,Clearwater Creamery,Bill,B-20760,06/15/2026,07/15/2026,USD,"8,887.10",,,,,"8,887.10"
V-1023,Clearwater Creamery,Bill,B-20374,06/22/2026,07/22/2026,USD,"12,393.52",,,,,"12,393.52"
V-1031,Tualatin Hazelnut Co.,Bill,B-20434,06/10/2026,07/10/2026,USD,"4,190.48",,,,,"4,190.48"
V-1031,Tualatin Hazelnut Co.,Bill,B-21239,06/23/2026,07/23/2026,USD,"6,187.75",,,,,"6,187.75"
V-1042,Pacific Coast Packaging LLC,Bill,B-20272,06/03/2026,07/03/2026,USD,"5,486.87",,,,,"5,486.87"
V-1042,Pacific Coast Packaging LLC,Bill,B-21545,06/10/2026,07/10/2026,USD,"3,360.80",,,,,"3,360.80"
V-1042,Pacific Coast Packaging LLC,Bill,B-20165,06/23/2026,07/23/2026,USD,"2,915.65",,,,,"2,915.65"
V-1045,Talent Bridge Staffing,Bill,B-20685,06/05/2026,07/05/2026,USD,"4,989.02",,,,,"4,989.02"
V-1045,Talent Bridge Staffing,Bill,B-20880,06/15/2026,07/15/2026,USD,"1,998.45",,,,,"1,998.45"
V-1051,Stumptown Office Supply,Bill,B-21211,06/18/2026,07/18/2026,USD,340.47,,,,,340.47
V-1055,Wenatchee Pear Packers,Bill,B-20452,06/04/2026,07/04/2026,USD,"4,934.80",,,,,"4,934.80"
V-1055,Wenatchee Pear Packers,Bill,B-20541,06/11/2026,07/11/2026,USD,"9,908.64",,,,,"9,908.64"
V-1055,Wenatchee Pear Packers,Bill,B-20211,06/22/2026,07/22/2026,USD,"15,365.81",,,,,"15,365.81"
V-1058,Ridgeline Express,Bill,B-21349,06/09/2026,07/09/2026,USD,"1,925.06",,,,,"1,925.06"
V-1058,Ridgeline Express,Bill,B-20586,06/15/2026,07/15/2026,USD,"2,202.60",,,,,"2,202.60"
V-1058,Ridgeline Express,Bill,B-21044,06/26/2026,07/26/2026,USD,"2,353.70",,,,,"2,353.70"
V-1066,Willamette Sanitation Supply,Bill,B-20370,06/16/2026,07/16/2026,USD,375.79,,,,,375.79
V-1074,Scappoose Organic Farms,Bill,B-20216,06/03/2026,07/03/2026,USD,"10,137.43",,,,,"10,137.43"
V-1074,Scappoose Organic Farms,Bill,B-21197,06/12/2026,07/12/2026,USD,"12,770.17",,,,,"12,770.17"
V-1074,Scappoose Organic Farms,Bill,B-20387,06/23/2026,07/23/2026,USD,"9,323.64",,,,,"9,323.64"
V-1077,Puget Sound Shellfish Co.,Bill,B-21397,06/09/2026,07/09/2026,USD,"15,125.26",,,,,"15,125.26"
V-1077,Puget Sound Shellfish Co.,Bill,B-20563,06/18/2026,07/18/2026,USD,"5,230.09",,,,,"5,230.09"
V-1078,Rogue Valley Cheese Works,Bill,B-21398,06/05/2026,07/05/2026,USD,"11,185.36",,,,,"11,185.36"
