Customer ID,Customer,Type,Num,Date,Due Date,Currency,Current,1 - 30,31 - 60,61 - 90,> 90,Open Balance (USD)
C-0002,Flint Noodle House,Invoice,INV-10824,06/16/2026,07/01/2026,USD,"1,841.15",,,,,"1,841.15"
C-0008,Alder Cantina,Invoice,INV-10846,06/22/2026,07/07/2026,USD,"1,371.34",,,,,"1,371.34"
C-0012,Olallie Market,Invoice,INV-10749,06/01/2026,07/01/2026,USD,"11,474.17",,,,,"11,474.17"
C-0012,Olallie Market,Invoice,INV-10807,06/15/2026,07/15/2026,USD,"27,949.59",,,,,"27,949.59"
C-0014,Rivet Supper Club,Invoice,INV-10823,06/15/2026,06/30/2026,USD,"2,566.54",,,,,"2,566.54"
C-0027,Cascade Harvest Grocers,Invoice,INV-10745,06/02/2026,07/02/2026,USD,"28,217.96",,,,,"28,217.96"
C-0027,Cascade Harvest Grocers,Invoice,INV-10825,06/17/2026,07/17/2026,USD,"27,800.18",,,,,"27,800.18"
C-0027,Cascade Harvest Grocers,Invoice,INV-10878,06/30/2026,07/30/2026,USD,"23,333.74",,,,,"23,333.74"
C-0033,Treasure Valley Market,Invoice,INV-10722,06/01/2026,07/01/2026,USD,"14,162.77",,,,,"14,162.77"
C-0033,Treasure Valley Market,Invoice,INV-10831,06/17/2026,07/17/2026,USD,"22,863.90",,,,,"22,863.90"
C-0033,Treasure Valley Market,Invoice,INV-10869,06/30/2026,07/30/2026,USD,"18,982.98",,,,,"18,982.98"
C-0035,Velvet Taproom,Invoice,INV-9852,10/10/2025,10/25/2025,USD,,,,,"1,795.43","1,795.43"
C-0035,Velvet Taproom,Invoice,INV-10805,06/11/2026,06/26/2026,USD,,"1,080.06",,,,"1,080.06"
C-0036,Alpine Eatery,Invoice,INV-9851,10/06/2025,10/21/2025,USD,,,,,"1,794.44","1,794.44"
C-0036,Alpine Eatery,Invoice,INV-10854,06/23/2026,07/08/2026,USD,"2,637.26",,,,,"2,637.26"
C-0037,Bellwether Tavern,Invoice,INV-10870,06/23/2026,07/08/2026,USD,"3,798.41",,,,,"3,798.41"
C-0045,Bridgetown Pantry,Invoice,INV-10781,06/09/2026,07/09/2026,USD,"21,972.90",,,,,"21,972.90"
C-0045,Bridgetown Pantry,Invoice,INV-10842,06/22/2026,07/22/2026,USD,"22,445.31",,,,,"22,445.31"
C-0046,Yakima Orchard Market,Invoice,INV-10735,06/02/2026,07/02/2026,USD,"22,387.63",,,,,"22,387.63"
C-0046,Yakima Orchard Market,Invoice,INV-10803,06/15/2026,07/15/2026,USD,"12,040.55",,,,,"12,040.55"
C-0046,Yakima Orchard Market,Invoice,INV-10867,06/29/2026,07/29/2026,USD,"21,450.82",,,,,"21,450.82"
C-0064,Juniper Hill Foods,Invoice,INV-10802,06/15/2026,07/15/2026,USD,"15,711.90",,,,,"15,711.90"
C-0066,Keel Smokehouse,Invoice,INV-10809,06/15/2026,06/30/2026,USD,"1,672.28",,,,,"1,672.28"
C-0066,Keel Smokehouse,Invoice,INV-10863,06/23/2026,07/08/2026,USD,710.85,,,,,710.85
C-0069,Riverbend Natural Grocers,Invoice,INV-10700,05/25/2026,06/24/2026,USD,,"24,439.67",,,,"24,439.67"
C-0069,Riverbend Natural Grocers,Invoice,INV-10797,06/09/2026,07/09/2026,USD,"11,169.64",,,,,"11,169.64"
C-0069,Riverbend Natural Grocers,Invoice,INV-10871,06/23/2026,07/23/2026,USD,"21,340.36",,,,,"21,340.36"
C-0075,Vesper Pizzeria,Invoice,INV-10872,06/23/2026,07/08/2026,USD,"2,277.73",,,,,"2,277.73"
C-0081,Fernwood Grill,Invoice,INV-10789,06/09/2026,06/24/2026,USD,,"1,056.55",,,,"1,056.55"
C-0082,Chanterelle Supper Club,Invoice,INV-10850,06/22/2026,07/07/2026,USD,"1,984.29",,,,,"1,984.29"
C-0088,Palouse Provisions,Invoice,INV-10701,05/25/2026,06/24/2026,USD,,"27,205.00",,,,"27,205.00"
C-0088,Palouse Provisions,Invoice,INV-10790,06/09/2026,07/09/2026,USD,"13,870.18",,,,,"13,870.18"
C-0088,Palouse Provisions,Invoice,INV-10840,06/22/2026,07/22/2026,USD,"20,180.73",,,,,"20,180.73"
C-0090,Zigzag Mountain Grocery,Invoice,INV-10736,06/03/2026,07/03/2026,USD,"15,081.85",,,,,"15,081.85"
C-0090,Zigzag Mountain Grocery,Invoice,INV-10818,06/16/2026,07/16/2026,USD,"25,329.28",,,,,"25,329.28"
C-0090,Zigzag Mountain Grocery,Invoice,INV-10884,06/29/2026,07/29/2026,USD,"22,790.07",,,,,"22,790.07"
C-0096,Pioneer Square Provisions,Invoice,INV-10741,06/01/2026,07/01/2026,USD,"24,245.29",,,,,"24,245.29"
C-0096,Pioneer Square Provisions,Invoice,INV-10808,06/17/2026,07/17/2026,USD,"21,354.06",,,,,"21,354.06"
C-0102,Indigo Deli,Invoice,INV-10826,06/17/2026,07/02/2026,USD,"3,394.22",,,,,"3,394.22"
C-0102,Indigo Deli,Invoice,INV-10839,06/19/2026,07/04/2026,USD,"3,668.83",,,,,"3,668.83"
C-0105,Whidbey Harvest Co-op,Invoice,INV-10782,06/10/2026,07/10/2026,USD,"19,487.39",,,,,"19,487.39"
C-0105,Whidbey Harvest Co-op,Invoice,INV-10865,06/24/2026,07/24/2026,USD,"26,294.77",,,,,"26,294.77"
C-0107,Green Valley Co-op,Invoice,INV-10737,05/26/2026,06/25/2026,USD,,"17,716.88",,,,"17,716.88"
C-0107,Green Valley Co-op,Invoice,INV-10801,06/11/2026,07/11/2026,USD,"25,515.70",,,,,"25,515.70"
C-0107,Green Valley Co-op,Invoice,INV-10836,06/24/2026,07/24/2026,USD,"16,907.39",,,,,"16,907.39"
C-0122,Owyhee Mercantile,Invoice,INV-10779,06/11/2026,07/11/2026,USD,"16,177.42",,,,,"16,177.42"
C-0122,Owyhee Mercantile,Invoice,INV-10845,06/24/2026,07/24/2026,USD,"26,912.41",,,,,"26,912.41"
C-0133,Sawtooth Natural Foods,Invoice,INV-10753,06/01/2026,07/01/2026,USD,"24,896.19",,,,,"24,896.19"
C-0133,Sawtooth Natural Foods,Invoice,INV-10791,06/15/2026,07/15/2026,USD,"24,146.77",,,,,"24,146.77"
C-0133,Sawtooth Natural Foods,Invoice,INV-10874,06/29/2026,07/29/2026,USD,"28,456.37",,,,,"28,456.37"
C-0139,Greenhouse Bistro,Invoice,INV-10855,06/23/2026,07/08/2026,USD,"1,269.80",,,,,"1,269.80"
C-0142,Sextant Bakery,Invoice,INV-10783,06/08/2026,06/23/2026,USD,,"3,702.34",,,,"3,702.34"
C-0143,Gorge Valley Co-op,Invoice,INV-10728,06/01/2026,07/01/2026,USD,"14,422.98",,,,,"14,422.98"
C-0143,Gorge Valley Co-op,Invoice,INV-10792,06/15/2026,07/15/2026,USD,"24,214.79",,,,,"24,214.79"
C-0143,Gorge Valley Co-op,Invoice,INV-10868,06/29/2026,07/29/2026,USD,"22,487.66",,,,,"22,487.66"
C-0147,Vashon Island Market,Invoice,INV-10726,05/27/2026,06/26/2026,USD,,"15,399.28",,,,"15,399.28"
C-0147,Vashon Island Market,Invoice,INV-10772,06/08/2026,07/08/2026,USD,"15,669.79",,,,,"15,669.79"
C-0147,Vashon Island Market,Invoice,INV-10821,06/23/2026,07/23/2026,USD,"17,548.42",,,,,"17,548.42"
C-0154,Green Valley Cooperative Market,Invoice,INV-10815,06/19/2026,07/19/2026,USD,"3,215.40",,,,,"3,215.40"
C-0158,Umber Grill,Invoice,INV-10847,06/22/2026,07/07/2026,USD,"1,783.65",,,,,"1,783.65"
C-0163,Elk Rock Provisions,Invoice,INV-10757,06/04/2026,07/04/2026,USD,"24,212.80",,,,,"24,212.80"
C-0163,Elk Rock Provisions,Invoice,INV-10834,06/22/2026,07/22/2026,USD,"20,463.72",,,,,"20,463.72"
C-0172,Driftless Tavern,Invoice,INV-10858,06/22/2026,07/07/2026,USD,"2,740.14",,,,,"2,740.14"
C-0182,Jasper Bakery,Invoice,INV-10873,06/25/2026,07/10/2026,USD,"4,183.83",,,,,"4,183.83"
